,index,company_name,position,location,date_posted,Number of applicants,number of views,job_type,employees,sector,descriptions,search_keyword
552,553,IQVIA,Clinical Project Manager CNS sponsor dedicated,"Madrid, Community of Madrid, Spain",Posted 5 days ago,5 applicants,Number of views 53 views,Full time,10001+ employees,Hospital & Health Care,As a Clinical Project Manager Sr Clinical Project Manager you will manage cross functional teams across our global organization You will be supported by domain experts in every function and enabled by best in class technology and data analytics Key collaborators are the Clinical Lead for site management the Project Management Analyst for project coordination tracking and financial analysis and the Site Activation Manager an expert in start up IQVIA s size and global footprint will present you with the breadth of opportunities necessary to develop your career The BDU is a Sponsor dedicated project leadership unit in Neuroscience and sits within IQVIA s global Project Leadership organization as a member of this group you will be responsible for delivery of global and or regional studies and or critical process and vendor management in a variety of indications Our BDU team is growing quickly and candidates with experience in the following areas can expect to have a strong impact Multiple sclerosis Alzheimer DiseaseParkinson s diseasePainAcute care Stroke and TBI LupusGene Therapy Neurology OphthalmologyRare Diseases Neurology ALS SMA You will need to be comfortable collaborating and communicating with a variety of stakeholders and demonstrate flexible and creative leadership Global experience and a biopharmaceutical CRO or related vendor Imaging Labs Rater training eCOA IXRS ECG PFT Site equipment is ideal While project assignments vary your typical responsibilities might include Serving as the primary project contact with the clientLeading and managing cross functional project teamsLeading problem solving including management of risk and issue resolutionDeveloping or reviewing study management plansManaging team resource assignments and accountabilityStudy finance and budget managementProject status reporting and surveillance for riskMonitoring team performance against contract and client expectations and according to key performance metricsOversight of database managementEnsuring compliance with study tools training materials and standard processes policies and procedures At IQVIA we believe in pushing the boundaries of human science and data science to make the biggest impact possible to help our customers create a healthier world The advanced analytics technology solutions and contract research services we provide to the life sciences industry are made possible by our 70 000 employees around the world who apply their insight curiosity and intellectual courage every step of the way Learn more at jobs iqvia com,data analyst
553,554,,Programador ABAP,"Madrid, Community of Madrid, Spain",Posted 3 days ago,0 applicants,Number of views 5 views,Entry level,,,Programador ABAP en Madrid De cara a centro de servicios SAP demandamos un Programador con el siguiente perfil profesional Experiencia en IDOCs Adobe Form Legacy LSMW y workflows abap idoc adobe form lsmw,data analyst
554,555,Rawson BPO,Programador Service Now con Ingles,"Madrid, Community of Madrid, Spain",Posted 1 month ago,0 applicants,Number of views 2 views,Entry level,51-200 employees,Information Technology & Services,En Rawson BPO buscamos perfiles como Programador Service Now A technical resource that possesses advanced administration capability and is able to design build and customize ServiceNow applications and services The ServiceNow Application Developer has a software development background that will be enhanced by ServiceNow System Administration ServiceNow Advanced System Administration Scripting in ServiceNow and Application Creation in ServiceNow Designs and develops new ServiceNow applications and services Assists product owner with incident resolution as needed Assists product owner in estimating release level of effort Takes ownership of complex business requirements and works them to completion Inglés ServiceNow yJavaScript avanzado obligatorio Observaciones Trabajo remoto desde cualquier parte de España Salario entre 30k y 34k según experiencia Contrato indefinido Desired Skills and Experience Programador Analista Programador Admin Ingeniero de Sistemas Admin Software Frontend Backend Admin de Infraestructura Fullstack JavaScript,data analyst
555,556,Avanade,Consultor SCM Business Analyst,"Madrid, Community of Madrid, Spain",Posted 1 month ago,0 applicants,Number of views 7 views,Associate,10001+ employees,Information Technology & Services,Job Description Buscamos gente como tú Que disfrutas de tu trabajo aceptas retos para llegar más lejos en tu carrera te sientes orgulloso de pertenecer a una compañía Top Employer te gusta el trabajo en equipo y colaborar con tu experiencia para que todos seamos mejores en nuestro día a día Quieres recibir formación en últimas tecnologías y tener la posibilidad de certificarte de manera gratuita Quieres trabajar en un ambiente dinámico con proyectos de gran envergadura aplicando tecnología de última generación y trabajar en equipo con profesionales de primer nivel En Estos Momentos Estamos Interesados En Incorporar Consultores Funcionales SCM En Nuestro Equipo De ERP En Madrid y Barcelona Con Experiencia y Conocimiento En Alto conocimiento de producto Dynamics 365 F O Experiencia de entre 3 5 años implementando módulos D365FO SCM Experiencia end to end en implementación como consultor SCM Adquisiciones y Logística Compras Planificación Maestra Almacenaje Ventas Deseable tener conocimientos de producción Fabricación Conocimiento en metodología Agile plataforma DevOps y LCS Se valorará positivamente inglés fluido y la certificación MB 330 Microsoft Dynamics 365 Supply Chain Management Las condiciones que te ofrecemos en Avanade son las siguientes Horario que te permitirá conciliar vida laboral y personal Participación en proyectos importantes para clientes de primer nivel nacional e internacional Una atractiva remuneración compuesta por un salario bruto anual y un programa de beneficios corporativos y retribución flexible Te esperamos Avanade es tu compañía About Avanade Avanade leads in providing innovative digital services business solutions and design led experiences for its clients delivered through the power of people and the Microsoft ecosystem Our professionals combine technology business and industry expertise to build and deploy solutions to realize results for clients and their customers Avanade has 29 000 digitally connected people across 23 countries bringing clients the best thinking through a collaborative culture that honors diversity and reflects the communities in which we operate We welcome all and seek talented individuals who can bring their whole self to work build inclusive teams and encourage diversity inside and outside the organization Majority owned by Accenture Avanade was founded in 2000 by Accenture LLP and Microsoft Corporation Learn more at www avanade com,data analyst
556,557,Business Decision,Offer Strategy Lead Data Management,"Madrid, Community of Madrid, Spain",Posted 2 weeks ago,12 applicants,Number of views 55 views,Mid Senior level,"1,001-5,000 employees",Information Technology & Services,Business Decision is looking for a European Offer Strategy Lead Data Management to work on a European transversal organization You already have proven experience and you are eager to combine pre sales activities with consulting projects related to high level data management Then you should probably keep on reading What you can expectThe successful candidate will be part of our European transversal organization organized in Tribes to participate to the pre sales activities of Data management offers and on consulting assignments project scoping and project delivery Your role as Data Management Consultant will involve both analyzing and proposing complex Data solutions for end customers You are involved in the definition implementation and audit of a company s Data roadmap You have a generalist role but the experience required will allow the role to focus on subjects such as delivering strategy and maturity assessments data integration analytics cloud data services Aside from that you will be led to evolve towards more Data governance oriented missions You support your customers in their path to become Data centric You create added value for the customer through delivery of Data use casesDefining Data architecture and roadmapAnimation Data projects from design and choice of tool to proposal of the solution at the customerManage the Implementation of Data solutions Your role is also to be able to support the tribe s vision and the offerings with all the pre sales activities associated marketing activities offer definition answer to RFP One of your first missions will be to support the development of a Data School for internal resources and external customers sales offering In collaboration with the French entity Ecole de la Data you will coordinate How to meet the internal needs reuse of the creation of materials to animate the courses of the curriculum find the best way to animate these courses How to answer the external need by being able to define and create the cursus according to the market needs Activities of the Data Management Consultant Commercial and marketing activities in support of the European sales teamsParticipate in offering of solutionsParticipation in the pre sale cycle customer appointments RFP Contribute to content creation for marketing purposes Participation in consulting missions to define and animate Data roadmapsSupporting businesses to meet the challenges of the new Data economyConstruction and implementation of Data roadmapsAnimation of missions to implement appropriate Data solutionsDefining a modern Data architecture including Cloud stakesIdentifying issues defining budgets choose solutions ensure adequacy of solutions with business issuesImplementation of Data solutions 5 Reasons to join us You join the market leader in Data active in the Big data area for nearly 10 yearsYou benefit from a large network in Europe with prestigious customers like Axa Ingenico Carrefour Befimmo SDWorx trusting B D for our unique Data expertiseYou get more than a job a career path as Business Decision is a fast growing company it gives a lot of opportunities to grow in the direction you want There s lots of flexibility career paths in different directions relevant trainings and certifications and the opportunity to take ownership of emerging trends on the market You integrate a team of strong experts that value after work activities and events just as much as hard work You get attractive benefits including an interesting mobility package an IP compensation an interesting flex plan a strong career path relevant training challenging missions and projects and international perspectives Profile We challenge you to directly apply if you recognize yourself in the following attributes See you soon TechnicalMaster s degree or equivalentAt least 5 10 years of experience in the world of Data Business Intelligence Data integration Datalakes At least 3 years of proven consulting skills in Data Strategy related missionsAt least 3 years of proven project delivery skills in a role of Project Manager or Business Analyst in Data related projectsVery good knowledge of Data expertise of the following areas Data Management projects delivery Business intelligence and BI self service Data integration Analytics Cloud Data platforms Data governance as added value General knowledge of the following technologies in order to master the stakes and risks of projects Microsoft BI suite Business Objects Informatica Talend Qlikview Tableau software Azure Google Cloud AWS Snowflake Collibra Data Galaxy as added valueGood Knowledge of the principles of Data architectures BI and Big Data in cloud environmentGood Knowledge of project management Soft and functionalStrong sensitivity to business issues related to DataOrganizational skills coordinate team activitiesBeing adaptable and sociableAnalytic and structured mind solution oriented abstraction abilityVery good about relational and facing customersStrong market knowledge and able to adapt solution to the needs of the market and Strength to Build Market Appropriate offeringsAbility to build own and drive a strategy to drive changeSoft skills Conscientious and pragmatic persevering but not rigid conciliatory positive attitude at ease in matrix environment Fluent in French and English,data analyst
557,558,Frontiers,Data QA Engineer Madrid remote,"Madrid, Community of Madrid, Spain",Posted 1 month ago,8 applicants,Remote,Associate,201-500 employees,Publishing,At Frontiers we LOVE data It s not only that we are an Open Science publisher or proudly a data driven company also in the IT area we use data at scale Many of our daily editorial processes are sustained by data lakes machine learning models and data intensive applications In Madrid office we are a great family of SW engineers and QA engineers working closely with Data Science and the rest of IT colleagues The work environment is great the sense and mission of our team is exciting and the seniority of everyone around makes that every single day you will learn new things and enjoy the work And we need your help The ideal candidate will have a strong general QA expertise with a background in automated and manual testing of large datasets You will join one of our Scrum teams in Madrid to lead the testing activities ensuring the quality of the processes and the data throughout all the phases ingestion from different sources ETL processing enrichment using AI models and storage in our data lake And what about us Well I invite you to check Frontiers as a company our mission and how we envision the society and the world It s so gratifying to work in a company you can be proud of By joining us you will play a key role in shaping the future of science and academic publishing and the way it affects the people the planet and the evolution of our society If this resonates with you please check the job description below maybe you are the person that can help us What you do You map business and technical requirements into test suites test cases test scripts and quality control processes and consistently execute them reporting and analyzing results in a timely manner You conduct post release testing You work along with other members of the team to incorporate automated test processes cycles into each Sprint You monitor all stages of the software development lifecycle to identify and resolve bugs and glitches in order to meet quality standards You drive the quality mindset of the Development Team You understand and evaluate risk factors as they relate to changing requirements You stay up to date with new QA testing tools and strategies What We Are We Looking For Minimum of 2 years of experience as a QA Engineer specialized in data quality Experience working in Big Data environments Data Lakes and Data intensive applications Knowledge of Python and ideally DataBricks and PySpark Ideally knowledge in Metamorphic testing or Property based testing Ideally experience with fuzz testing tools like QuickCheck Zest RLCheck JQF etc Knowledge of Quality Test processes tools and techniques Experience working closely with business teams to understand business requirements and anticipate issues Analytical mind and strong organization and problem solving skills Familiarity with the Scrum framework Good English skills we are an international company and English is our working language Nice to have Experience testing complex AI processes Experience with API testing Postman Experience with performance testing JMeter Experience testing application coded with C SQL Server and MongoDB Benefits 25 days vacation per year and Christmas office closure Participation into the company s annual bonus scheme Access to the latest equipment and international working environment Great office less than 5 minute walk from Nuevos Ministerios station Flexible retribution scheme nursery cheques restaurant pass transportation English yoga classes Social fun benefits Christmas party summer barbecue monthly happy hour Fruits snacks in the kitchen as well as much tea coffee as you like Very good work life balance with flexible working hours possibility of remote working,data analyst
558,559,JOOR,Software Engineer Back End,"Madrid, Community of Madrid, Spain",Posted 1 month ago,1 applicant,Number of views 18 views,Entry level,51-200 employees,Internet,Who We Are Backed by Battery Ventures Canaan Partners ITOCHU JOOR is a Series C start up that provides the world s most recognized brands and retailers with a digital wholesale management platform that transforms the way these businesses work With a CEO recently named a Woman to Watch in 2020 by Luxury Daily and a CTO from Google JOOR is attracting top talent to drive market dominance We have 140 employees in 10 global offices including NYC Philadelphia LA Milan London Madrid Melbourne Berlin and Tokyo And we are continuing to grow in a smart sound way Founded in 2010 JOOR now services 12 500 brands across 53 categories 300 000 retailers in 144 countries and manages an incredible 1 5B in gross merchandise volume GMV each and every month Clients include major retailers like Neiman Marcus and Harrods e commerce players like ShopBop and key influencers like Dover Street Market Leading men s and women s brands include everyone from Tory Burch Jimmy Choo Alexander McQueen Berluti The Row and thousands more We are one of the few tech companies with a female CEO and 1 3 of our engineering team is made up of women well above the industry norm Walking our floors you ll find people of every shape color ethnicity and creed If you are looking to join a team of innovators and trail blazers who value diversity of thought and experience then JOOR is a great choice for you JOOR Engineering We re growing our engineering team and seeking members who want to set the tone for what technology in the wholesale industry looks like You ll tackle complex problems and build the systems that support emerging independent businesses all the way up to global brands and retailers Our clients rely on our products to grow their business and we are committed to building a fast and scalable product that they love all while using best practices and the latest technologies Our engineers are given a greenfield of opportunity to advance their skills work collaboratively and see their solutions make an immediate impact for brands and retailers Read the JOOR Engineering Blog to learn more Why JOOR We are revolutionizing the virtual showroom experience We partner with exciting brands and retailers from around the world We are a global company that is rapidly growing We are one of the most diverse and inclusive tech companies We have been recognized as a break out technology start up driving innovation in the fashion retail industry What We re Looking For 4 years experience as a software engineer We are ideally looking for Extensive knowledge of Python and Django API development preferably with GraphQL Experience with relational databases we use PostgreSQL mainly Experience with Docker since it is used from development to production Code reviews and unit tests for all code Comfortable with GIT Knowledge of gRPC would be a huge plus Having worked with microservices would be highly valued Experience with online payments would be highly valued Spanish and English fluency both verbal and written required What We Offer Access to Market Weeks to see the product in action Collaborate with our teams in NY LA London Madrid Melbourne Milan Paris and Philadelphia Regular social events including happy hours lunch learns company offsites meetups and speaker series Transparency into the state of our business via monthly all hands meetings showcasing the company s performance in relation to revenue and growth We are an equal opportunity employer and value diversity at our company We do not discriminate on the basis of race religion color national origin gender sexual orientation age marital status veteran status or disability status,data analyst
559,560,Amazon,Sr Product Manager,"Madrid, Community of Madrid, Spain",Posted 1 week ago,40 applicants,Number of views 286 views,Mid Senior level,10001+ employees,Internet,Description Amazon s South Europe Fresh team is looking for an exceptionally motivated and talented Sr Customer Insights Product Manager m f d with strong customer obsession and relentless focus on improving the customer experience This role can be based in Spain or Italy Are you analytically sharp keen to make a difference Would you love to take on the challenge to drive customer demand for some of Amazon s most diverse and challenging product categories Do you have a passion for diving deep to uncover key insights that drive critical business and customer experience decisions We are searching for a talented Sr Product Manager who is curious driven and passionate about data insights and analytics as a key lever to moving the needle You will become part of the wider Product Management team supporting the Fresh teams across Spain Italy and France This role exists in a challenging environment with responsibility for three countries within a fast growing office As a Sr Customer Insights Product Manager you will help us make effective decisions based on data from multiple sources compiling it and triangulating it into a digestible and actionable format In this highly visible role you will use and create reports to analyze data make sense of the results and be able to explain what it all means to key stakeholders You will analyze large amounts of data discover and solve complex business problems and build metrics and business cases around key performance of the business By combining your findings with qualitative research you can develop an even deeper and holistic understanding of customer behavior The ideal candidate will use a customer backwards approach in deriving insights and proactively identifying actions we can take to improve the customer experience and conversion Scope Work as a business partner with marketing finance and category teams in order to tackle customer related business challenges and evaluate marketing performance with a data driven approach Leverage marketing and customer reporting tools to generate customer insights that can be used by the marketing team and key stakeholders Analyze data and perform root cause analyses to understand customer behavior and engagement while leveraging ETL and SQL when necessary Partner with your teammates and relevant stakeholders to combine the generated data with external and qualitative data from market research and marketing agencies to understand and explain the Why of customer behavior Own and execute end to end analysis including scoping design data collection data analysis creation of recommendations and presentation of results to senior leadership Conceptualize and run analyses that generate insights on customer behavior and customer needs to help further develop and improve our value proposition and marketing strategy Provide an insightful interpretation of results pro actively generate ideas formulate and communicate recommendations that drive action This way enable the marketing team to improve the customer experience and our customer relationship management acquisition engagement and reactivation Lead strategic research using primary secondary and syndicated data sources to generate insights on customer behavior and customer needs to help further develop and improve our value proposition and marketing strategy The ability to identify and scope a problem formulate relevant questions draw relevant data and provide insights from the data is critical for the role The ideal candidate f m d would also have an excellent business acumen to be able to interpret the data in context a restlessness to answer why questions excellent analytical abilities strong technical skills and excellent written and verbal communication skills For This Position We Expect BASIC QUALIFICATIONS This position requires a Bachelor s degree in mathematics statistics operational research economics or related quantitative discipline Multiple years of relevant employment experience Proficient in SQL and building data visualizations in Excel Quicksight and or Looker Experience with statistical modelling and analysis applied statistics predictive analytics and mixed methodology research Solid communication skills and team player Capable of investigating familiarizing and mastering new data sets quickly Strong troubleshooting and problem solving skills Ability to display complex quantitative data in a simple intuitive format and to present findings in a clear and concise manner Desire to work in a fast paced highly ambiguous entrepreneurial culture Strong drive for results and ability to take calculate risks Ability to work in a diverse team Further Qualifications Would Be a Plus PREFERRED QUALIFICATIONS Several years of relevant experience in a business analyst data analyst or statistical analysis role Advanced technical or business degree MS or MBA Experience with large scale datasets Experience in developing requirements and formulating business metrics for reporting familiarity with data visualization tools e g Tableau Quicksight Familiarity with AWS redshift environment Knowledge of data warehousing concepts Are you interested We look forward to receiving your application Please submit your online application including your CV and covering letter in English Company Amazon EU SARL Spain Branch Job ID A1554239,data analyst
560,561,Comdata España Latam,Programador a BIG DATA en entorno Cloudera,"Madrid, Community of Madrid, Spain",Posted 1 week ago,5 applicants,Number of views 47 views,Mid Senior level,10001+ employees,Outsourcing/Offshoring,Necesitamos incorporar a un a Programador a BIG DATAen entorno Cloudera para un importante proyecto de la compañía FUNCIONES Desarrollar y planificar procesos ETL en un entorno Cloudera trabajando con las siguientes herramientas Hive Impala HDFS HBASE Oozie Sqoop Los desarrollos están básicamente enfocados al mapeo validación y carga de datos en bases de datos HBase para su posterior publicación como ficheros parquet en Hive Todos estos procesos se programan sobre Mapreduce con Java y Spark con Scala SE REQUIEREN CONOCIMIENTOS EN Experiencia constatable de Oracle PL SQL en entornos de producción Migraciones Data Warehouse Conocimientos en optimización de Oracle PLSQL Conocimientos en Power BI Experiencia en arquitecturas Big Data sobre Apache Stack Experiencia en uno de los siguientes lenguajes java python Experiencia en SQL Conocimientos sobre alguna de las siguientes tecnologías sqoop hive hbase hadoop spark oozie pig DESEABLE Conocimientos en Data Warehouse ETL Conocimientos básicos de Unix Deseable experiencia en el sector sanitario OFRECEMOS Incorporación en importante proyecto de cliente Plan de Carrera y desarrollo profesional en los servicios Formación continua en las tecnologías mas demandadas Posibilidad de acceder a Certificaciones oficiales Lugar de trabajo Madrid Horario normal de oficina de 8 00 a 17 00 Salario según valía de candidato a NECESARIO DISPONIBILIDAD DE ALTOS CONOCIMIENTOS EN LOS ENTORNOS INDICADOS,data analyst
561,562,Grupo Crit,Delineante Programador a en Solidedge y Trutops,"Cubas de la Sagra, Community of Madrid, Spain",Posted 4 weeks ago,2 applicants,Number of views 13 views,Entry level,"1,001-5,000 employees",Human Resources,Desde Grupo Crit estamos buscando un a DELINEANTE PROGRAMADOR A de máquinas de corte de chapa láser punzoneadora y plegado CHAPISTERIA FINA DE PRECISION con experiencia en LÁSER y PUNZONADO TRAMPS Desde Grupo Crit estamos seleccinando para una importante empresa ubicada en Cubas de la Sagra Madrid un a Delineante que sepa dibujar y programar en Solidedge y en Trutops elementos de chapa fina de precisión materiales entre 0 5mm y 10 mm para máquinas de corte por láser punzonado y plegado de la marca Trumpf o al menos alguna de estas máquinas REQUISITOS VALORABLE FPI o FPII relacionada con el sector Experiencia mínima de al menos 2 años en puesto similar IMPRESCINDIBLE conocimiento en interpretación de planos Disponibilidad de incorporación inmediata Carnet de conducir y vehículo propio FUNCIONES Programar máquinas de corte de chapa láser punzonadora y plegado Interpretación de planos OFRECEMOS Contrato estable 4 6 meses por ETT incorporación a plantilla de empresa Jornada completa 40 horas semana Horario de Lunes a Viernes de 07 00h a 15 00h Salario 20 000 24 000 bruto año con posibilidad de subida tras un periodo de tiempo en la empresa VALORABLE FPI o FPII relacionada con el sector Experiencia mínima de al menos 2 años en puesto similar IMPRESCINDIBLE conocimiento en interpretación de planos Disponibilidad de incorporación inmediata Carnet de conducir y vehículo propio,data analyst
562,563,Experis Selección,Programador a C,"Madrid, Community of Madrid, Spain",Posted 5 days ago,19 applicants,Remote,Associate,"1,001-5,000 employees",Human Resources,Estamos buscando Programadores C para ampliar nuestro equipo de trabajo Requisitos mínimos Experiencia de al menos 1 año programando a nivel profesional con C Experiencia en Microcontroladores y Git Valorable conocimientos de DOORS Ubicación Madrid o Valladolid Ofrecemos Estabilidad y proyección profesional Flexibilidad horaria Jornada Completa Desarrollo de carrera y seguimiento personalizado en el cliente Formación de empresa y beneficios sociales,data analyst
563,564,Prosegur,Software Engineer Cornerstone ID 210006NX,"Madrid, Community of Madrid, Spain",Posted 1 week ago,3 applicants,Number of views 47 views,Mid Senior level,10001+ employees,Security & Investigations,Prosegur es un referente global del sector de la seguridad privada A través de sus cinco líneas de negocio Prosegur Seguridad Prosegur Cash Prosegur Alarmas Cipher y Prosegur AVOS proporciona a empresas hogares y comercios una seguridad de confianza basada en las soluciones más avanzadas del mercado Con presencia en los cinco continentes Prosegur cuenta en la actualidad con un equipo de más de 160 000 empleados Apostamos por el talento y actualmente estamos buscando para nuestra área Global de IT un Ingeniero de Software Cornerstone para incorporarse al equipo de experiencia de empleado y llevar a cabo funciones de administración integración y desarrollo en las soluciones adaptadas al desafío de la Transformación Digital de la compañía Estarás involucrado en el proceso de desarrollo desde la definición hasta la entrega y trabajarás en un equipo Agile multidisciplinar Qué buscamos Estudios mínimos Ingeniero o técnico superior en informáticaImprescindible experiencia en Administración y gestión de CornerStoneCreación dashboards en PowerBITrabajar con metodologías ágiles 2 años de experiencia en funciones similaresInglés altoSe valorará experiencia Gestores de Contenidos Web CMS preferiblemente Magnolia CMSDesarrollo web html javascript css java Desarrollo apps móviles java kotlin Swift xamarin,data analyst
564,565,NielsenIQ,Business Analyst Quote to Cash,"Madrid, Community of Madrid, Spain",Posted 3 days ago,39 applicants,Number of views 256 views,Associate,10001+ employees,Information Technology & Services,Job Description Flexible Location across Europe About This Job This Business Analyst role will report to the regional Quote to Cash Leader This role will be responsible for assisting the regional Quote to Cash Leader in gathering and defining business requirements from NielsenIQ leadership on a market by market basis across all NielsenIQ business lines Additionally this role will work closely with developers and a system architect to ensure requirements are translated properly according to Agile development methodology perform User Acceptance Testing alongside pilot users of the system and assist in the creation of training materials Responsibilities Work alongside the regional Quote to Cash Leader to gather and define business requirementsCoordinate with the development team to translate requirements effectively according to Agile methodologyPerform User Acceptance Testing to ensure business requirements are metAssist in the creation of training materials About You This role is ideal for you if you are familiar with the Agile software development process and methodology and you enjoy working cross regionally Qualifications 2 3 years experience as a business or technical business analystExperience with pricing or quote to cash software preferredExperience using sales CRM CPQ or CLM software preferredExperience with Microsoft Dynamics preferredBachelor s degree in a Business or Technology field or equivalent experience About NielsenIQ Additional Information NielsenIQ is a global measurement and data analytics company that provides the most complete and trusted view available of consumers and markets worldwide We provide consumer packaged goods manufacturers fast moving consumer goods and retailers with accurate actionable information and insights and a complete picture of the complex and changing marketplace that companies need to innovate and grow Our approach marries proprietary NielsenIQ data with other data sources to help clients around the world understand what s happening now what s happening next and how to best act on this knowledge We like to be in the middle of the action That s why you can find us at work in over 90 countries covering more than 90 of the world s population For more information visit www niq com NielsenIQ is committed to hiring and retaining a diverse workforce We are proud to be an Equal Opportunity Affirmative Action Employer making decisions without regard to race color religion gender gender identity or expression sexual orientation national origin genetics disability status age marital status protected veteran status or any other protected class,data analyst
565,566,everis,Data Engineer Spark Scala,"Madrid, Community of Madrid, Spain",Posted 1 week ago,23 applicants,Number of views 173 views,Mid Senior level,10001+ employees,Information Technology & Services,Te gustaría desarrollar tu carrera profesional y conocimientos en una de las compañías top de data a nivel mundial es una compañía dinámica e innovadora con presencia en 18 países formada por más de 24 500 personas y con un crecimiento medio anual de alrededor del 20 Formamos parte de NTT Data una compañía que la forman más de 100 000 profesionales con una facturación superior a los 15 000 millones de euros Everis NTT ha sido seleccionada por Linkedin como mejor empresa para trabajar en España en 2021 En everis amamos lo que hacemos y hacemos lo que nos gusta nos centramos en nuestra gente y creemos firmemente que sin ellos nada sería posible Actualmente estamos buscando Data Engineers con experiencia en el ecosistema BigData Spark y conocimiento del lenguaje Scala para que se incorporen a nuestra práctica Data Driven Services Cuál será tu rol Diseño e implantación técnica Soporte a la arquitectura del proyecto y la entrega técnica de soluciones Interacción con los distintos stakeholders del proyecto Cliente Product Owner Scrum Master Colaboración en el análisis de datos Estimación de las iniciativas del proyecto como base para la planificación Supervisión de equipos de desarrollo en función de la experiencia aportada Soporte y redacción de la documentación técnica Qué buscamos Ingeniería de Telecomunicaciones Informática o similar De 1 3 años de experiencia en proyectos de Ingenieria de Datos ecosistemas Big Data Spark y lenguaje Scala Deseable experiencia previa en ecosistemas cloud principalmente con la suit de Microsoft Azure Datalake Storage y Databricks y o AWS Conocimiento de marcos ágiles de trabajo SCRUM etc Idiomas inglés nivel avanzado escrito y hablado Qué te ofrecemos Formarás parte de la práctica Data Driven Services en la que te encontrarás con un equipo dinámico joven entusiasta y siempre orientado hacia el éxito a partir de una fuerte cultura emprendedora pero sobre todo de un gran ambiente de trabajo Por todo ello te ofrecemos un puesto desafiante con un impacto directo en la práctica en la que nos centramos en el máximo desarrollo profesional de cada uno de nuestros profesionales Práctica del teletrabajo instaurada Colaboración en los proyectos de ingeniería de datos más relevantes del sector financiero junto a un extraordinario equipo con una cultura corporativa diferencial Plan de formación continuo Certificaciones cursos de conocimiento internos y externos cursos de soft skills y de idiomas Plan de carrera claramente definido basado en tu desempeño expectativas y potencial Networking entre nuestros empleados a través de afterwork campeonatos deportivos etc Posibilidad de colaborar en la acción social de la Compañía a través de su Fundación y las numerosas acciones que acometemos a lo largo del año,data analyst
566,567,GMV,Ingeniero a de software Embebido,"Number of views
                  
                  14 views",Posted 1 month ago,2 applicants,2 applicants,Entry level,"1,001-5,000 employees",Information Technology & Services,Ingeniero a de software Embebido en Madrid Employment Opportunities Si te gustan la tecnología y el espacio y quieres saber más sobre este mundo welcome to GMV Somos una empresa de ingeniería e innovación que trabajamos en distintas áreas una de ellas es el sector espacial donde participamos en actividades del segmento de vuelo navegación por satélite segmento terreno procesamiento de datos y soporte a misiones espaciales entre otras muchas Serás parte de nuestro equipo lleno de talento y ganas por innovar donde participarás en el desarrollo de un navegador por satélite capaz de trabajar con el nuevo sistema de navegación europeo Galileo El receptor está implementado en un sistema de FPGA con ARM embebido que usa Linux y el software se escribe en C También se desarrollarán las herramientas de soporte al desarrollo y test las cuales se implementarán en Python Participarás en el desarrollo de drivers de Linux usando UIO para los elementos de la FPGA y otros para el Hardware mantenimiento del device tree programación DMA depuración a bajo nivel Además darás soporte al resto del equipo software en aspectos del sistema operativo como la aplicación de multithreading multiprocessing comunicaciones interproceso network stack profiling etc El candidato también mantendrá la distribución del Linux embebido que se usará en el sistema usando Buildroot o Petalinux QUIERES SER PARTE DE NUESTRO EQUIPO Para que este puesto pueda ser tuyo nos gustaría que tuvieses los siguientes conocimientos experiencia Al menos 3 años de experiencia en desarrollo de software embebido en Linux con C en sistemas FPGA ARM Programación de controladores en plataformas FPGA ARM Nivel alto de inglés QUÉ TE OFRECEMOS Incorpórate a nuestro equipo y cultura GMV entrando en proyectos tecnológicos e innovadores dentro de equipos multiculturales y multidisciplinares Desarrollo de carrera profesional y plan de formación Podrás adquirir o perfeccionar conocimientos en las tecnologías que utilizamos así como en habilidades También ofrecemos una ayuda para el aprendizaje de idiomas Somos flexibles Tenemos horario flexible y jornada intensiva los meses de verano Nos importa tu bienestar Tendrás seguro médico privado con póliza dental y seguro de accidentes Podrás flexibilizar parte de tu salario a través de nuestro plan de retribución flexible donde tendrás varias opciones como tickets restaurante tickets guardería seguro médico para un familiar Actividades de equipo eventos y competiciones deportivas Además ofrecemos la plataforma Gympass para mantenerte activo a Puedes venir cómodo a a trabajar no tenemos dress code Vienes de otro país Te ofrecemos un relocation package En nuestro comedor tendrás fruta y café a tu disposición para los momentos de relax Promovemos la igualdad de oportunidades en la contratación y somos una compañía comprometida con la inclusión y la diversidad TE ESPERAMOS C Linux FPGA ARM,data analyst
